2026-08-28 05:35:36.421 Uvicorn server started on 127.0.0.1:8501

  You can now view your Streamlit app in your browser.

  URL: http://127.0.0.1:8501

2026-08-28 05:38:19.491 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:38:28.727 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:38:34.634 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:38:44.726 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:38:54.977 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:39:01.897 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:39:11.155 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:39:19.641 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:39:24.385 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:39:30.211 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:39:38.368 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:39:45.051 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:39:54.797 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:40:09.506 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:40:19.089 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:40:25.640 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:40:33.542 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:40:42.250 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:40:48.310 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:40:53.093 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:40:58.000 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:41:03.430 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:41:07.287 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:41:12.578 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:41:16.944 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:41:19.895 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:41:24.256 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:41:27.836 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:41:33.426 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:41:36.857 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:41:40.900 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:41:45.334 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:41:49.439 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:41:54.573 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:42:00.456 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:42:09.565 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:42:15.627 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:42:21.534 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:42:27.699 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:42:36.468 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:42:45.321 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:42:52.637 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:43:00.149 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:43:10.516 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:43:18.576 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:43:28.481 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:43:45.457 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:43:53.099 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:44:01.308 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:44:07.575 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:44:14.528 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:44:22.448 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:44:29.776 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:44:36.318 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:44:45.693 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:44:53.290 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:44:59.707 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
2026-08-28 05:45:04.077 Rejecting WebSocket connection with disallowed Origin or Host header: origin=https://8501-gpu-t4-s-kkb-usw1b1-1a03ljxsekluj-b.us-west1-1.prod.colab.dev, host=gpu-t4-s-kkb-usw1b1-1a03ljxsekluj.us-west1-b.c.codatalab-user-runtimes.internal:8007
