Ventana,Feature,bin,limite_inferior,limite_superior,n_referencia,n_produccion,E_i,A_i,contribucion_psi
W1,s_mean,7,0.2568002998828888,0.27964905500411985,50,37,0.1,0.074,0.007828732412381969
W1,s_mean,8,0.27964905500411985,0.30471453070640564,50,44,0.1,0.088,0.0015340004581186216
W1,s_mean,9,0.30471453070640564,0.33456991612911224,50,44,0.1,0.088,0.0015340004581186216
W1,s_mean,10,0.33456991612911224,inf,50,70,0.1,0.14,0.013458889464848522
W1,v_mean,1,-inf,0.4208349406719208,50,50,0.1,0.1,0.0
W1,v_mean,2,0.4208349406719208,0.44620749950408933,50,54,0.1,0.108,0.000615688329089025
W1,v_mean,3,0.44620749950408933,0.4632623463869095,50,33,0.1,0.066,0.014127525094696638
W1,v_mean,4,0.4632623463869095,0.4752871811389923,50,28,0.1,0.056,0.02551201379112946
W1,v_mean,5,0.4752871811389923,0.48680655658245087,50,43,0.1,0.086,0.0021115204562841745
W1,v_mean,6,0.48680655658245087,0.5021150827407836,50,59,0.1,0.118,0.0029792598925963178
W1,v_mean,7,0.5021150827407836,0.5143605947494507,50,56,0.1,0.112,0.0013599442236840364
W1,v_mean,8,0.5143605947494507,0.5278153896331788,50,49,0.1,0.098,4.040541463503897e-05
W1,v_mean,9,0.5278153896331788,0.5500755429267883,50,59,0.1,0.118,0.0029792598925963178
W1,v_mean,10,0.5500755429267883,inf,50,69,0.1,0.138,0.012239172968426311
W1,excess_green,1,-inf,0.010424436815083028,50,46,0.1,0.092,0.0006670528715124097
W1,excess_green,2,0.010424436815083028,0.02415302358567715,50,50,0.1,0.1,0.0
W1,excess_green,3,0.02415302358567715,0.034531205892562866,50,36,0.1,0.072,0.00919811387521702
W1,excess_green,4,0.034531205892562866,0.04600254893302918,50,50,0.1,0.1,0.0
W1,excess_green,5,0.04600254893302918,0.05826111324131489,50,50,0.1,0.1,0.0
W1,excess_green,6,0.05826111324131489,0.07366726994514468,50,64,0.1,0.128,0.006912082182082722
W1,excess_green,7,0.07366726994514468,0.0888474076986313,50,41,0.1,0.082,0.00357211689702909
W1,excess_green,8,0.0888474076986313,0.11619704812765123,50,41,0.1,0.082,0.00357211689702909
W1,excess_green,9,0.11619704812765123,0.20416659861803063,50,70,0.1,0.14,0.013458889464848522
W1,excess_green,10,0.20416659861803063,inf,50,52,0.1,0.104,0.00015688285261312404
W1,brightness_mean,1,-inf,0.3879414439201355,50,53,0.1,0.106,0.0003496134487438532
W1,brightness_mean,2,0.3879414439201355,0.4062719225883484,50,40,0.1,0.08,0.004462871026284198
W1,brightness_mean,3,0.4062719225883484,0.4249329030513764,50,49,0.1,0.098,4.040541463503897e-05
W1,brightness_mean,4,0.4249329030513764,0.43771331906318667,50,38,0.1,0.076,0.006586484296842252
W1,brightness_mean,5,0.43771331906318667,0.44918273389339447,50,31,0.1,0.062,0.018165360435833996
W1,brightness_mean,6,0.44918273389339447,0.4590425491333008,50,35,0.1,0.07,0.010700248318161968
W1,brightness_mean,7,0.4590425491333008,0.47354609370231626,50,69,0.1,0.138,0.012239172968426311
W1,brightness_mean,8,0.47354609370231626,0.48861778378486637,50,63,0.1,0.126,0.006008904745048052
W1,brightness_mean,9,0.48861778378486637,0.5104796051979065,50,55,0.1,0.11,0.000953101798043247
W1,brightness_mean,10,0.5104796051979065,inf,50,67,0.1,0.134,0.009950766874735882
W1,contrast_std,1,-inf,0.09223804324865341,50,64,0.1,0.128,0.006912082182082722
W1,contrast_std,2,0.09223804324865341,0.10476468801498413,50,26,0.1,0.052,0.031388470435519886
W1,contrast_std,3,0.10476468801498413,0.12152492478489876,50,39,0.1,0.078,0.005466149904566996
